Genre,Year,Stream
Indie/Folk,2017,63591251
Dance/Electronic,1997,93139948
Dance/Electronic,1993,300981550
Dance/Electronic,1999,224135250
Dance/Electronic,1999,0
Metal,2002,337925693
Metal,2002,147157433
Metal,2007,114871335
Metal,2002,60252375
Indie/Folk,1970,341440840
Metal,2011,293570322
Indie/Folk,1988,641327301
Indie/Folk,1988,246317260
Pop,2019,24072617
Pop,2006,0
Pop,1997,470561276
Pop,1997,207253227
Pop,1974,167758251
Pop,1974,90364613
Pop,1973,90964160
Pop,1984,4802731
R&B/Soul,2004,20100532
Pop,1972,107403116
Pop,1970,139409141
Dance/Electronic,2014,217064736
Dance/Electronic,2013,217064736
Pop,1966,543203799
Pop,1966,67955391
Rock,1986,0
Rock,1991,0
Rock,1978,0
Rock,1986,0
Rock,1983,0
Rock,1971,469305024
Rock,1971,216048073
Metal,2003,216048073
Rock,1969,169245733
Rock,1971,148410892
Rock,1965,208986875
Rock,1992,436524827
Rock,1981,185451974
Rock,1975,52567139
Dance/Electronic,1983,989478518
Dance/Electronic,1983,93672131
Rock,2006,1034332026
Rock,2004,125436478
Rock,2013,72665878
Rock,2006,27014086
Rock,2006,56348258
Rock,1959,360821701
Pop,1965,352306036
Pop,2005,352306036
Rock,2001,352306036
Pop,1958,151679548
Rock,1968,117300896
Dance/Electronic,2003,38947086
Rock,1993,581748805
Rock,2004,0
Rock,1996,64416732
Rock,1993,68858126
Pop,2000,0
Pop,1964,148654619
Indie/Folk,2000,483218480
Indie/Folk,1989,188998080
Indie/Folk,1985,95777131
Indie/Folk,2000,54041425
Dance/Electronic,1993,242130793
Dance/Electronic,2002,131949778
Dance/Electronic,1982,56561842
Pop,1960,369159971
Pop,1968,171073005
Rock,1989,536601813
Rock,1972,414889413
Rock,1973,267561421
Rock,1978,206600175
Rock,1986,488959947
Rock,1975,166559331
Rock,1986,106476004
Rock,1986,84213512
Rock,1980,40408098
Rock,1975,39541367
Dance/Electronic,1993,208328272
Dance/Electronic,1989,181359966
Rock,1969,132901124
Dance/Electronic,1993,132901124
Dance/Electronic,1991,87175111
Dance/Electronic,1984,33092833
Dance/Electronic,1996,832914421
Dance/Electronic,2017,29672483
Pop,1969,555209503
Pop,1971,62566222
Pop,1968,43661041
Pop,1979,37038938
Pop,1978,27582760
Pop,1996,25680695
Dance/Electronic,1989,232803655
Indie/Folk,1991,81237570
Pop,1980,64000309
Rock,1993,151814181
Rock,2004,0
Pop,2011,84461994
Rock,1972,0
Rock,1970,0
Rock,2000,0
Dance/Electronic,2017,18456096
Rock,1984,6632707
Rock,1995,533242757
Metal,2000,113764418
Pop,2016,169498019
Rock,1991,30438063
Country,2000,30438063
Dance/Electronic,2005,30438063
Pop,2010,11345192
Dance/Electronic,1994,5818631
Rock,1972,182238193
Pop,2017,225843104
Indie/Folk,2014,173097853
Rock,2008,256341255
Rock,1991,205496070
Jazz/Latin,2006,187913246
Jazz/Latin,2006,40578708
Rock,1998,0
Dance/Electronic,2017,194379950
Country,2002,79183801
Dance/Electronic,2006,79183801
Pop,1999,565848495
Pop,1999,59704806
Rock,1976,632278059
Rock,1978,36834885
Metal,2007,387780639
Rock,1977,529832569
Rock,1976,505197082
Rock,1969,92944392
Rock,1977,335501752
Rock,1987,290725288
Rock,1975,122647487
Rock,2017,353138077
Dance/Electronic,2008,0
Indie/Folk,1977,3836397
Metal,1987,34658510
Pop,1976,24305212
Dance/Electronic,2016,89179982
Dance/Electronic,1997,44076614
Rock,1975,165791667
Rock,1979,1554029
Pop,2014,33678230
Pop,2005,33678230
Soundtrack,2016,16778947
Indie/Folk,1967,114623979
Pop,1987,114623979
Rock,1994,109391806
Indie/Folk,1984,109391806
Pop,2009,109391806
Indie/Folk,2016,62532499
Indie/Folk,1971,56932454
Indie/Folk,1967,54494351
Hip Hop,1996,518080621
Rock,1980,92093771
Rock,1980,356312922
Metal,2015,36358374
Pop,1962,383161146
Pop,2010,171297511
Pop,1963,52833152
Rock,1990,3415237
Pop,2012,3415237
Pop,1986,405682335
Pop,1991,158618084
Pop,1991,20845223
Pop,1988,10491394
Rock,2007,0
Rock,1985,20952335
Indie/Folk,2005,8629387
Pop,1997,37846515
R&B/Soul,1967,931115362
Rock,2000,351514
Rock,1977,323795115
Rock,1977,131908838
Rock,1990,45949431
Pop,2009,32723170
Rock,1971,5072229
Dance/Electronic,2013,45695736
Rock,1988,68945635
Pop,1973,58107218
Indie/Folk,2013,76055672
Indie/Folk,2014,76055672
Rock,1999,869488973
Rock,1974,162383972
Rock,1969,146914828
Rock,1987,64985898
Rock,1986,56141885
Rock,1997,0
Rock,1996,597510470
Dance/Electronic,1996,35874741
Pop,1992,16668187
Rock,2004,2345302
Dance/Electronic,2018,30854723
Rock,1990,25343174
Rock,1971,75959833
Rock,1971,43843415
Rock,1977,46954804
Rock,1976,46954804
Rock,1970,8199847
Rock,1973,690313
Pop,1969,0
Pop,2011,22264848
Rock,1977,201401196
Rock,1986,0
Rock,1986,0
Rock,1986,0
Indie/Folk,2016,13617164
Rock,1980,245359052
Rock,1986,457324848
Rock,1986,92550543
Rock,1987,264620800
Rock,1987,234087978
Pop,1980,133419253
Pop,1980,89046665
Pop,1974,55074119
Pop,1978,27582760
Pop,1981,35568373
Dance/Electronic,1977,16835071
Pop,2010,316365091
