Title,Year,Acousticness,Danceability,Energy,Liveness,Speechiness,Valence
Good Time,2012,0.02,0.56,0.87,0.37,0.14,0.68
Glad You Came,2012,0.03,0.72,0.85,0.11,0.06,0.45
Beauty And A Beat,2012,0,0.6,0.84,0.07,0.06,0.53
International Love,2012,0.01,0.67,0.86,0.34,0.05,0.65
Some Nights,2012,0.02,0.67,0.74,0.09,0.05,0.39
Boyfriend,2012,0.04,0.72,0.55,0.13,0.05,0.33
Part Of Me,2012,0,0.68,0.92,0.07,0.04,0.77
Domino,2012,0.01,0.76,0.55,0.04,0.03,0.78
Where Have You Been,2012,0,0.72,0.85,0.22,0.09,0.44
Wide Awake,2012,0.07,0.51,0.68,0.39,0.04,0.57
The One That Got Away,2012,0,0.69,0.8,0.16,0.04,0.88
Dance Again,2012,0.02,0.79,0.86,0.1,0.07,0.71
Turn Up the Music,2012,0,0.59,0.84,0.16,0.1,0.64
Lights - Single Version,2012,0.03,0.68,0.8,0.13,0.04,0.78
We Are Young (feat. Janelle Monáe),2012,0.02,0.38,0.64,0.08,0.08,0.74
Diamonds,2012,0,0.56,0.71,0.11,0.05,0.39
Don't Stop the Party (feat. TJR),2012,0.01,0.72,0.96,0.38,0.09,0.95
You Da One,2012,0.5,0.7,0.72,0.13,0.04,0.86
Stereo Hearts (feat. Adam Levine),2012,0.03,0.65,0.8,0.27,0.1,0.8
It Will Rain,2012,0.34,0.58,0.84,0.08,0.05,0.48
Blow Me (One Last Kiss),2012,0,0.6,0.92,0.25,0.04,0.75
Underneath the Tree,2013,0,0.51,0.81,0.21,0.05,0.69
Wake Me Up,2013,0,0.53,0.78,0.16,0.05,0.64
Story of My Life,2013,0.23,0.6,0.66,0.12,0.05,0.29
Just Give Me a Reason (feat. Nate Ruess),2013,0.35,0.78,0.55,0.13,0.05,0.44
Hall of Fame,2013,0.07,0.42,0.87,0.12,0.06,0.63
Roar,2013,0,0.55,0.77,0.35,0.04,0.46
We Can't Stop,2013,0.01,0.61,0.62,0.37,0.03,0.48
Don't You Worry Child - Radio Edit,2013,0.11,0.61,0.84,0.12,0.05,0.44
Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,2013,0.04,0.79,0.81,0.1,0.04,0.86
Wrecking Ball,2013,0.41,0.53,0.42,0.11,0.03,0.35
Impossible,2013,0.14,0.38,0.7,0.11,0.09,0.3
Blurred Lines,2013,0,0.85,0.6,0.08,0.04,0.84
Heart Attack,2013,0.07,0.5,0.79,0.24,0.1,0.5
We Are Never Ever Getting Back Together,2013,0.01,0.63,0.68,0.12,0.09,0.75
Die Young,2013,0,0.71,0.7,0.22,0.05,0.8
Clarity,2013,0.04,0.51,0.78,0.07,0.07,0.18
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,2013,0.02,0.57,0.81,0.13,0.06,0.11
Under Control,2013,0.13,0.54,0.92,0.12,0.08,0.51
Everybody Talks,2013,0,0.47,0.92,0.31,0.06,0.73
"Hold On, We're Going Home",2013,0,0.77,0.41,0.07,0.1,0.29
Best Song Ever,2013,0.02,0.65,0.88,0.08,0.05,0.49
Kiss You,2013,0.02,0.63,0.93,0.32,0.06,0.91
Sweet Nothing (feat. Florence Welch),2013,0.2,0.57,0.93,0.06,0.11,0.58
Lose Yourself to Dance,2013,0.08,0.83,0.66,0.08,0.06,0.67
Work Bitch,2013,0.16,0.63,0.82,0.07,0.16,0.85
Brave,2013,0.01,0.55,0.84,0.04,0.05,0.76
Can't Hold Us (feat. Ray Dalton),2013,0.03,0.63,0.93,0.1,0.08,0.88
Feel This Moment (feat. Christina Aguilera),2013,0.04,0.67,0.76,0.34,0.16,0.54
Beneath Your Beautiful,2013,0.23,0.56,0.52,0.1,0.04,0.23
Let Me Love You (Until You Learn To Love Yourself),2013,0.25,0.66,0.68,0.37,0.04,0.25
Thrift Shop (feat. Wanz),2013,0.06,0.78,0.53,0.05,0.29,0.66
If I Lose Myself - Alesso vs OneRepublic,2013,0.26,0.52,0.75,0.14,0.04,0.16
The Way,2013,0.29,0.65,0.88,0.08,0.11,0.86
Suit & Tie,2013,0.1,0.8,0.6,0.16,0.22,0.36
#thatPOWER,2013,0,0.8,0.61,0.07,0.06,0.4
I Love It (feat. Charli XCX),2013,0.01,0.71,0.91,0.15,0.03,0.82
Play Hard (feat. Ne-Yo & Akon) - New Edit,2013,0.04,0.72,0.87,0.66,0.04,0.68
Daylight,2013,0,0.66,0.67,0.26,0.03,0.37
Love Somebody,2013,0.13,0.68,0.78,0.12,0.04,0.4
A Little Party Never Killed Nobody (All We Got),2013,0.01,0.76,0.62,0.09,0.18,0.52
Move,2013,0,0.85,0.74,0.55,0.09,0.77
